gene      group          color 
CD3       TCD4naive      "darkgray"
CD4       TCD4naive      "darkgray"
CD45RA    TCD4naive      "darkgray"
CCR7high  TCD4naive      "darkgray"
CD3       TCD4Th1        "burlywood1"
CD4       TCD4Th1        "burlywood1"
TBX21     TCD4Th1        "burlywood1"
IFNG      TCD4Th1        "burlywood1"
IL2       TCD4Th1        "burlywood1"
IL12      TCD4Th1        "burlywood1"
TNF       TCD4Th1        "burlywood1"
CD3       TCD4Th2        "chocolate4"
CD4       TCD4Th2        "chocolate4"
GATA3     TCD4Th2        "chocolate4"
IL4       TCD4Th2        "chocolate4"
IL5       TCD4Th2        "chocolate4"
IL13      TCD4Th2        "chocolate4"
CD3       TCD4Th17       "orange3"
CD4       TCD4Th17       "orange3"
RORGT     TCD4Th17       "orange3"
IL17A     TCD4Th17       "orange3"
IL17F     TCD4Th17       "orange3"
IL21      TCD4Th17       "orange3"
CD3       TCD4TReg       "orange"
CD4       TCD4TReg       "orange"
FOXP3     TCD4TReg       "orange"
TGPB      TCD4TReg       "orange"
IL10      TCD4TReg       "orange"
CD3       TCD8naive      "orangered"
CD4       TCD8naive      "orangered"
CD45RA    TCD8naive      "orangered"
CCR7      TCD8naive      "orangered"
GNLY      TCD8cytotoxic  "red"
PRF1      TCD8cytotoxic  "red"
CD3       TCD8cytotoxic  "red"
CD8       TCD8cytotoxic  "red"
CD8       TCD8cytotoxic  "red"
FCGR3B    Neu            "mediumvioletred"
PI3       Neu            "mediumvioletred"
G0S2      Neu            "mediumvioletred"
CPA3      Mast           "purple" 
MS4A2     Mast           "purple" 
TPSAB1    Mast           "purple" 
TPSAB2    Mast           "purple" 
STAT1     MacI           "blue"
TNF       MacI           "blue"
IL6       MacI           "blue"
IL1B      MacI           "blue"
CXCL10    MacI           "blue"
CXCL9     MacI           "blue"
IDO1      MacI           "blue"
IRF5      MacI           "blue"
MARCO     MacII          "blue4"
TGFBR2    MacII          "blue4"
NKG2D     NK             "darkgoldenrod3"
TCRG      Tgammadelta    "cyan"
CD79A     B              "salmon"
CD79B     B              "salmon"
MS4A1     B              "salmon"
SCGB1A1   Secreto        "green"
SCGB3A1   Secreto        "green"
MSMB      Secreto        "green"
KRT5      Basal          "rosybrown4"
AQP3      Basal          "rosybrown4"
TP63      Basal          "rosybrown4"
CAPS      Ciliated       "khaki"
TPPP3     Ciliated       "khaki"
RSPH1     Ciliated       "khaki"
KRT13     Squamo         "lightskyblue"
KRT4      Squamo         "lightskyblue"
SPRR3     Squamo         "lightskyblue"
KRT8      Inflam         "deeppink4"
KRT18     Inflam         "deeppink4"
MMP7      Inflam         "deeppink4"
SFTPC     AT2            "yellow"
SFTPA1    AT2            "yellow"
SFTPB     AT2            "yellow"

 
 
 
 
 
 
 
 
 
 
          
          
